name,brand,image
Collusion - Robe courte à mancherons style années 90 - Noir,Collusion,images.asos-media.com/products/collusion-robe-courte-a-mancherons-style-annees90-noir/206844940-1-black
ASOS DESIGN - Robe courte sans manches en bengaline avec dos nu et jupe patineuse - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-courte-sans-manches-en-bengaline-avec-dos-nu-et-jupe-patineuse-noir/208256652-1-black
ASOS DESIGN - Top d'ensemble côtelé structuré à boutons dorés et manches bouffantes - Bordeaux,ASOS DESIGN,images.asos-media.com/products/asos-design-top-densemble-cotele-structure-a-boutons-dores-et-manches-bouffantes-bordeaux/207810377-1-burgundy
ASOS DESIGN - Robe longue dos nu coupée en biais à volants et fleurs brodées - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-dos-nu-coupee-en-biais-a-volants-et-fleurs-brodees-noir/207139015-1-black
ASOS DESIGN Petite - Robe volantée longue à manches longues avec col V et découpe au dos - Bleu,ASOS Petite,images.asos-media.com/products/asos-design-petite-robe-volantee-longue-a-manches-longues-avec-col-v-et-decoupe-au-dos-bleu/207564277-1-blue
ASOS DESIGN - Robe longue nouée sur le devant en satin avec manches longues - Chocolat,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-nouee-sur-le-devant-en-satin-avec-manches-longues-chocolat/207585619-1-chocolate
Topshop - Bomber coupe boule courte en similicuir - Vert,Topshop,images.asos-media.com/products/topshop-bomber-coupe-boule-courte-en-similicuir-vert/207323641-1-green
ASOS DESIGN - Robe longue coupée en biais à imprimé fleuri avec épaules asymétriques et volants,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-coupee-en-biais-a-imprime-fleuri-avec-epaules-asymetriques-et-volants/206988749-1-floral
ASOS DESIGN Curve - Robe courte à écharpe enveloppante - Noir,ASOS Curve,images.asos-media.com/products/asos-design-curve-robe-courte-a-echarpe-enveloppante-noir/208035595-1-black
ASOS DESIGN - Mini jupe-short - Cassis,ASOS DESIGN,images.asos-media.com/products/asos-design-mini-jupe-short-cassis/207847805-1-blackcurrant
adidas Football - Real Madrid 2024/2025 - Maillot extérieur - Orange,adidas performance,images.asos-media.com/products/adidas-football-real-madrid-2024-2025-maillot-exterieur-orange/206087118-1-orangeorange
Stradivarius - STR - Top boutonné asymétrique en tissu côtelé - Écru,Stradivarius,images.asos-media.com/products/stradivarius-str-top-boutonne-asymetrique-en-tissu-cotele-ecru/207814500-1-ecru
ASOS DESIGN - Robe courte asymétrique en mousseline stretch avec détail drapé oversize au dos - Vert,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-courte-asymetrique-en-mousseline-stretch-avec-detail-drape-oversize-au-dos-vert/207667295-1-green
ASOS DESIGN - Robe longue effet drapé en tulle avec manches longues et buste à détail torsadé - Imprimé marbré ton sur ton,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-effet-drape-en-tulle-avec-manches-longues-et-buste-a-detail-torsade-imprime-marbre-ton-sur-ton/207317523-1-marbleprint
DTT - Bomber matelassé à losanges - Noir,Don't Think Twice,images.asos-media.com/products/dtt-bomber-matelasse-a-losanges-noir/206601740-1-black
ASOS DESIGN - Robe courte en néoprène avec décolleté Bardot en cœur - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-courte-en-neoprene-avec-decollete-bardot-en-cur-noir/206509181-1-black
ASOS DESIGN - Robe courte à manches longues et dos ouvert croisé - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-courte-a-manches-longues-et-dos-ouvert-croise-noir/207952007-1-black
Bershka - Body col V - Noir,Bershka,images.asos-media.com/products/bershka-body-col-v-noir/208009530-1-black
ASOS DESIGN - Legging en coton - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-legging-en-coton-noir/206124913-1-black
ASOS DESIGN - Robe longueur mollet fendue et drapée asymétrique en tissu crêpe - Bleuet,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longueur-mollet-fendue-et-drapee-asymetrique-en-tissu-crepe-bleuet/207648106-1-blue
ASOS DESIGN - Pantalon d'ensemble dad ample - Bleu délavé,ASOS DESIGN,images.asos-media.com/products/asos-design-pantalon-densemble-dad-ample-bleu-delave/207295344-1-navy
ASOS DESIGN - Robe longue avec découpe et manches ange fendues - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-avec-decoupe-et-manches-ange-fendues-noir/208046960-1-black
